#Simple stellar population models from Maraston et al. 2009, MNRAS, 394, L107
#based on the population synthesis code and energetics of Maraston (2005) and 
#the empirical stellar library by Pickles 1998. TP-AGB as in Maraston (2005) 
#
#   t(Gyr),  [Z/H],  lambda(AA),   Flux (Lsun/AA)
5.000000,  0.00,     2315.0,   0.2311E+27
5.000000,  0.00,     2320.0,   0.2280E+27
5.000000,  0.00,     2325.0,   0.2526E+27
5.000000,  0.00,     2330.0,   0.2559E+27
5.000000,  0.00,     2335.0,   0.2424E+27
5.000000,  0.00,     2340.0,   0.2404E+27
5.000000,  0.00,     2345.0,   0.2341E+27
5.000000,  0.00,     2350.0,   0.2322E+27
5.000000,  0.00,     2355.0,   0.2215E+27
5.000000,  0.00,     2360.0,   0.2320E+27
5.000000,  0.00,     2365.0,   0.2450E+27
5.000000,  0.00,     2370.0,   0.2575E+27
5.000000,  0.00,     2375.0,   0.2587E+27
5.000000,  0.00,     2380.0,   0.2431E+27
5.000000,  0.00,     2385.0,   0.2354E+27
5.000000,  0.00,     2390.0,   0.2391E+27
5.000000,  0.00,     2395.0,   0.2417E+27
5.000000,  0.00,     2400.0,   0.2406E+27
5.000000,  0.00,     2405.0,   0.2536E+27
5.000000,  0.00,     2410.0,   0.2579E+27
5.000000,  0.00,     2415.0,   0.2711E+27
5.000000,  0.00,     2420.0,   0.2987E+27
5.000000,  0.00,     2425.0,   0.3214E+27
5.000000,  0.00,     2430.0,   0.3198E+27
5.000000,  0.00,     2435.0,   0.3234E+27
5.000000,  0.00,     2440.0,   0.3316E+27
5.000000,  0.00,     2445.0,   0.3346E+27
5.000000,  0.00,     2450.0,   0.3328E+27
5.000000,  0.00,     2455.0,   0.3374E+27
5.000000,  0.00,     2460.0,   0.3214E+27
5.000000,  0.00,     2465.0,   0.3055E+27
5.000000,  0.00,     2470.0,   0.3035E+27
5.000000,  0.00,     2475.0,   0.2977E+27
5.000000,  0.00,     2480.0,   0.2841E+27
5.000000,  0.00,     2485.0,   0.2641E+27
5.000000,  0.00,     2490.0,   0.2636E+27
5.000000,  0.00,     2495.0,   0.2797E+27
5.000000,  0.00,     2500.0,   0.3060E+27
5.000000,  0.00,     2505.0,   0.3073E+27
5.000000,  0.00,     2510.0,   0.3063E+27
5.000000,  0.00,     2515.0,   0.3083E+27
5.000000,  0.00,     2520.0,   0.3118E+27
5.000000,  0.00,     2525.0,   0.3204E+27
5.000000,  0.00,     2530.0,   0.3490E+27
5.000000,  0.00,     2535.0,   0.3645E+27
5.000000,  0.00,     2540.0,   0.3822E+27
5.000000,  0.00,     2545.0,   0.4028E+27
5.000000,  0.00,     2550.0,   0.4261E+27
5.000000,  0.00,     2555.0,   0.4399E+27
5.000000,  0.00,     2560.0,   0.4720E+27
5.000000,  0.00,     2565.0,   0.5137E+27
5.000000,  0.00,     2570.0,   0.5247E+27
5.000000,  0.00,     2575.0,   0.5218E+27
5.000000,  0.00,     2580.0,   0.5444E+27
5.000000,  0.00,     2585.0,   0.5926E+27
5.000000,  0.00,     2590.0,   0.6377E+27
5.000000,  0.00,     2595.0,   0.6577E+27
5.000000,  0.00,     2600.0,   0.6845E+27
5.000000,  0.00,     2605.0,   0.7216E+27
5.000000,  0.00,     2610.0,   0.7617E+27
5.000000,  0.00,     2615.0,   0.8141E+27
5.000000,  0.00,     2620.0,   0.8696E+27
5.000000,  0.00,     2625.0,   0.9311E+27
5.000000,  0.00,     2630.0,   0.1001E+28
5.000000,  0.00,     2635.0,   0.1108E+28
5.000000,  0.00,     2640.0,   0.1237E+28
5.000000,  0.00,     2645.0,   0.1302E+28
5.000000,  0.00,     2650.0,   0.1327E+28
5.000000,  0.00,     2655.0,   0.1382E+28
5.000000,  0.00,     2660.0,   0.1428E+28
5.000000,  0.00,     2665.0,   0.1425E+28
5.000000,  0.00,     2670.0,   0.1437E+28
5.000000,  0.00,     2675.0,   0.1454E+28
5.000000,  0.00,     2680.0,   0.1459E+28
5.000000,  0.00,     2685.0,   0.1449E+28
5.000000,  0.00,     2690.0,   0.1441E+28
5.000000,  0.00,     2695.0,   0.1440E+28
5.000000,  0.00,     2700.0,   0.1475E+28
5.000000,  0.00,     2705.0,   0.1461E+28
5.000000,  0.00,     2710.0,   0.1428E+28
5.000000,  0.00,     2715.0,   0.1381E+28
5.000000,  0.00,     2720.0,   0.1308E+28
5.000000,  0.00,     2725.0,   0.1293E+28
5.000000,  0.00,     2730.0,   0.1326E+28
5.000000,  0.00,     2735.0,   0.1291E+28
5.000000,  0.00,     2740.0,   0.1201E+28
5.000000,  0.00,     2745.0,   0.1175E+28
5.000000,  0.00,     2750.0,   0.1185E+28
5.000000,  0.00,     2755.0,   0.1222E+28
5.000000,  0.00,     2760.0,   0.1266E+28
5.000000,  0.00,     2765.0,   0.1290E+28
5.000000,  0.00,     2770.0,   0.1293E+28
5.000000,  0.00,     2775.0,   0.1283E+28
5.000000,  0.00,     2780.0,   0.1226E+28
5.000000,  0.00,     2785.0,   0.1168E+28
5.000000,  0.00,     2790.0,   0.1136E+28
5.000000,  0.00,     2795.0,   0.1118E+28
5.000000,  0.00,     2800.0,   0.1109E+28
5.000000,  0.00,     2805.0,   0.1111E+28
5.000000,  0.00,     2810.0,   0.1148E+28
5.000000,  0.00,     2815.0,   0.1234E+28
5.000000,  0.00,     2820.0,   0.1279E+28
5.000000,  0.00,     2825.0,   0.1312E+28
5.000000,  0.00,     2830.0,   0.1361E+28
5.000000,  0.00,     2835.0,   0.1401E+28
5.000000,  0.00,     2840.0,   0.1420E+28
5.000000,  0.00,     2845.0,   0.1435E+28
5.000000,  0.00,     2850.0,   0.1441E+28
5.000000,  0.00,     2855.0,   0.1539E+28
5.000000,  0.00,     2860.0,   0.1794E+28
5.000000,  0.00,     2865.0,   0.2042E+28
5.000000,  0.00,     2870.0,   0.2230E+28
5.000000,  0.00,     2875.0,   0.2384E+28
5.000000,  0.00,     2880.0,   0.2498E+28
5.000000,  0.00,     2885.0,   0.2700E+28
5.000000,  0.00,     2890.0,   0.2972E+28
5.000000,  0.00,     2895.0,   0.3234E+28
5.000000,  0.00,     2900.0,   0.3513E+28
5.000000,  0.00,     2905.0,   0.3719E+28
5.000000,  0.00,     2910.0,   0.3833E+28
5.000000,  0.00,     2915.0,   0.3883E+28
5.000000,  0.00,     2920.0,   0.3869E+28
