#Simple stellar population models from Maraston et al. 2009, MNRAS, 394, L107
#based on the population synthesis code and energetics of Maraston (2005) and 
#the empirical stellar library by Pickles 1998. TP-AGB as in Maraston (2005) 
#
#   t(Gyr),  [Z/H],  lambda(AA),   Flux (Lsun/AA)
3.000000,  0.00,     3480.0,   0.1135E+29
3.000000,  0.00,     3485.0,   0.1138E+29
3.000000,  0.00,     3490.0,   0.1153E+29
3.000000,  0.00,     3495.0,   0.1207E+29
3.000000,  0.00,     3500.0,   0.1284E+29
3.000000,  0.00,     3505.0,   0.1349E+29
3.000000,  0.00,     3510.0,   0.1315E+29
3.000000,  0.00,     3515.0,   0.1273E+29
3.000000,  0.00,     3520.0,   0.1202E+29
3.000000,  0.00,     3525.0,   0.1191E+29
3.000000,  0.00,     3530.0,   0.1295E+29
3.000000,  0.00,     3535.0,   0.1401E+29
3.000000,  0.00,     3540.0,   0.1456E+29
3.000000,  0.00,     3545.0,   0.1442E+29
3.000000,  0.00,     3550.0,   0.1369E+29
3.000000,  0.00,     3555.0,   0.1269E+29
3.000000,  0.00,     3560.0,   0.1190E+29
3.000000,  0.00,     3565.0,   0.1089E+29
3.000000,  0.00,     3570.0,   0.1010E+29
3.000000,  0.00,     3575.0,   0.9577E+28
3.000000,  0.00,     3580.0,   0.8915E+28
3.000000,  0.00,     3585.0,   0.9229E+28
3.000000,  0.00,     3590.0,   0.1078E+29
3.000000,  0.00,     3595.0,   0.1245E+29
3.000000,  0.00,     3600.0,   0.1346E+29
3.000000,  0.00,     3605.0,   0.1279E+29
3.000000,  0.00,     3610.0,   0.1210E+29
3.000000,  0.00,     3615.0,   0.1242E+29
3.000000,  0.00,     3620.0,   0.1321E+29
3.000000,  0.00,     3625.0,   0.1444E+29
3.000000,  0.00,     3630.0,   0.1420E+29
3.000000,  0.00,     3635.0,   0.1420E+29
3.000000,  0.00,     3640.0,   0.1491E+29
3.000000,  0.00,     3645.0,   0.1475E+29
3.000000,  0.00,     3650.0,   0.1560E+29
3.000000,  0.00,     3655.0,   0.1773E+29
3.000000,  0.00,     3660.0,   0.1877E+29
3.000000,  0.00,     3665.0,   0.1830E+29
3.000000,  0.00,     3670.0,   0.1777E+29
3.000000,  0.00,     3675.0,   0.1727E+29
3.000000,  0.00,     3680.0,   0.1629E+29
3.000000,  0.00,     3685.0,   0.1615E+29
3.000000,  0.00,     3690.0,   0.1701E+29
3.000000,  0.00,     3695.0,   0.1795E+29
3.000000,  0.00,     3700.0,   0.1790E+29
3.000000,  0.00,     3705.0,   0.1618E+29
3.000000,  0.00,     3710.0,   0.1570E+29
3.000000,  0.00,     3715.0,   0.1578E+29
3.000000,  0.00,     3720.0,   0.1410E+29
3.000000,  0.00,     3725.0,   0.1350E+29
3.000000,  0.00,     3730.0,   0.1250E+29
3.000000,  0.00,     3735.0,   0.1109E+29
3.000000,  0.00,     3740.0,   0.1148E+29
3.000000,  0.00,     3745.0,   0.1144E+29
3.000000,  0.00,     3750.0,   0.1212E+29
3.000000,  0.00,     3755.0,   0.1386E+29
3.000000,  0.00,     3760.0,   0.1407E+29
3.000000,  0.00,     3765.0,   0.1485E+29
3.000000,  0.00,     3770.0,   0.1657E+29
3.000000,  0.00,     3775.0,   0.1830E+29
3.000000,  0.00,     3780.0,   0.1898E+29
3.000000,  0.00,     3785.0,   0.1764E+29
3.000000,  0.00,     3790.0,   0.1556E+29
3.000000,  0.00,     3795.0,   0.1461E+29
3.000000,  0.00,     3800.0,   0.1497E+29
3.000000,  0.00,     3805.0,   0.1570E+29
3.000000,  0.00,     3810.0,   0.1509E+29
3.000000,  0.00,     3815.0,   0.1288E+29
3.000000,  0.00,     3820.0,   0.1075E+29
3.000000,  0.00,     3825.0,   0.9373E+28
3.000000,  0.00,     3830.0,   0.8916E+28
3.000000,  0.00,     3835.0,   0.9119E+28
